Category,Layer,Rank,Expert ID,Activation Count
height,0,1,112,5671
height,0,2,23,5285
height,0,3,12,5225
height,0,4,77,4657
height,0,5,125,4592
height,0,6,62,4415
height,0,7,72,4359
height,0,8,30,4273
height,0,9,102,4085
height,0,10,75,3980
height,0,11,34,3975
height,0,12,98,3878
height,0,13,51,3729
height,0,14,78,3711
height,0,15,28,3695
height,0,16,29,3648
height,0,17,50,3630
height,0,18,100,3318
height,0,19,116,3165
height,0,20,35,3115
height,1,1,59,5099
height,1,2,119,4959
height,1,3,32,4936
height,1,4,4,4802
height,1,5,88,4502
height,1,6,111,4428
height,1,7,122,4288
height,1,8,45,4225
height,1,9,102,4076
height,1,10,47,3878
height,1,11,106,3875
height,1,12,70,3766
height,1,13,127,3761
height,1,14,5,3706
height,1,15,94,3653
height,1,16,100,3605
height,1,17,10,3325
height,1,18,114,3204
height,1,19,123,3168
height,1,20,75,3144
height,2,1,47,11185
height,2,2,37,8400
height,2,3,36,7120
height,2,4,40,5865
height,2,5,127,5651
height,2,6,85,5469
height,2,7,2,5413
height,2,8,5,4893
height,2,9,31,4430
height,2,10,80,4028
height,2,11,25,3942
height,2,12,15,3913
height,2,13,4,3686
height,2,14,76,3562
height,2,15,52,3560
height,2,16,90,3469
height,2,17,125,3389
height,2,18,116,3349
height,2,19,50,3328
height,2,20,67,3325
height,3,1,84,14392
height,3,2,16,10483
height,3,3,113,8478
height,3,4,95,6501
height,3,5,77,5157
height,3,6,43,4628
height,3,7,115,4328
height,3,8,49,4255
height,3,9,61,4205
height,3,10,27,4198
height,3,11,102,4168
height,3,12,106,4023
height,3,13,103,3998
height,3,14,24,3804
height,3,15,88,3743
height,3,16,70,3636
height,3,17,72,3630
height,3,18,2,3628
height,3,19,3,3608
height,3,20,59,3526
height,4,1,104,11586
height,4,2,101,8508
height,4,3,109,7865
height,4,4,4,7736
height,4,5,11,7161
height,4,6,15,6470
height,4,7,36,5888
height,4,8,13,5576
height,4,9,52,5322
height,4,10,5,4975
height,4,11,28,4607
height,4,12,33,4515
height,4,13,32,4476
height,4,14,73,4384
height,4,15,10,4360
height,4,16,34,4331
height,4,17,81,4073
height,4,18,72,4054
height,4,19,2,3979
height,4,20,38,3676
height,5,1,74,9950
height,5,2,13,9355
height,5,3,44,9262
height,5,4,53,7281
height,5,5,76,6947
height,5,6,14,6912
height,5,7,7,6343
height,5,8,70,6153
height,5,9,98,5300
height,5,10,17,4601
height,5,11,48,4359
height,5,12,68,4178
height,5,13,54,4101
height,5,14,127,4070
height,5,15,25,3925
height,5,16,10,3801
height,5,17,12,3743
height,5,18,87,3673
height,5,19,121,3619
height,5,20,111,3462
height,6,1,74,13748
height,6,2,1,13146
height,6,3,71,12612
height,6,4,8,10543
height,6,5,34,9367
height,6,6,86,8761
height,6,7,109,8594
height,6,8,16,8095
height,6,9,53,7019
height,6,10,111,6469
height,6,11,40,5579
height,6,12,80,5549
height,6,13,116,5202
height,6,14,44,5164
height,6,15,29,4282
height,6,16,62,4243
height,6,17,7,4170
height,6,18,76,4142
height,6,19,118,4118
height,6,20,27,4015
height,7,1,109,14891
height,7,2,83,12426
height,7,3,18,11767
height,7,4,41,9865
height,7,5,30,9034
height,7,6,92,7443
height,7,7,103,7340
height,7,8,17,6708
height,7,9,106,6639
height,7,10,111,6564
height,7,11,73,6485
height,7,12,64,6250
height,7,13,23,5775
height,7,14,107,5738
height,7,15,9,5099
height,7,16,34,4974
height,7,17,59,4449
height,7,18,82,4328
height,7,19,53,3723
height,7,20,122,3690
height,8,1,46,14623
height,8,2,88,12720
height,8,3,107,12021
height,8,4,21,10063
height,8,5,58,7135
height,8,6,72,7000
height,8,7,116,6141
height,8,8,38,5838
height,8,9,125,5623
height,8,10,67,5400
height,8,11,111,5362
height,8,12,43,5253
height,8,13,20,5153
height,8,14,35,4967
height,8,15,3,4932
height,8,16,23,4555
height,8,17,94,4547
height,8,18,27,4310
height,8,19,78,4275
height,8,20,81,4272
height,9,1,49,12005
height,9,2,10,11932
height,9,3,27,11347
height,9,4,28,10065
height,9,5,86,9557
height,9,6,114,9240
height,9,7,57,7278
height,9,8,87,6916
height,9,9,5,6741
height,9,10,41,6488
height,9,11,30,6367
height,9,12,69,6166
height,9,13,37,5737
height,9,14,40,5614
height,9,15,90,5385
height,9,16,104,5266
height,9,17,32,4318
height,9,18,54,4222
height,9,19,74,3946
height,9,20,122,3818
height,10,1,65,9235
height,10,2,26,7579
height,10,3,53,7113
height,10,4,47,6643
height,10,5,45,6386
height,10,6,101,6385
height,10,7,30,6285
height,10,8,20,5711
height,10,9,96,5594
height,10,10,14,5482
height,10,11,86,5477
height,10,12,100,5379
height,10,13,3,5368
height,10,14,116,5028
height,10,15,56,4825
height,10,16,93,4763
height,10,17,15,4699
height,10,18,109,4463
height,10,19,123,3895
height,10,20,95,3673
height,11,1,39,11972
height,11,2,41,10741
height,11,3,64,7901
height,11,4,42,6763
height,11,5,126,6081
height,11,6,96,5750
height,11,7,28,5493
height,11,8,73,5241
height,11,9,35,5210
height,11,10,1,4518
height,11,11,118,4464
height,11,12,122,4373
height,11,13,27,4162
height,11,14,67,3784
height,11,15,21,3771
height,11,16,19,3713
height,11,17,103,3634
height,11,18,16,3377
height,11,19,97,3334
height,11,20,50,3321
height,12,1,85,12280
height,12,2,121,11488
height,12,3,56,7106
height,12,4,119,6732
height,12,5,62,6728
height,12,6,103,6589
height,12,7,116,6239
height,12,8,94,6158
height,12,9,9,6135
height,12,10,0,6130
height,12,11,95,6010
height,12,12,60,4922
height,12,13,38,4494
height,12,14,120,4492
height,12,15,82,4464
height,12,16,76,4413
height,12,17,46,4376
height,12,18,113,4323
height,12,19,68,4037
height,12,20,17,3874
height,13,1,14,8303
height,13,2,111,7963
height,13,3,105,7876
height,13,4,42,6975
height,13,5,57,6903
height,13,6,109,6762
height,13,7,88,6230
height,13,8,122,6226
height,13,9,68,5893
height,13,10,25,5847
height,13,11,89,5656
height,13,12,62,5323
height,13,13,123,5135
height,13,14,107,4892
height,13,15,60,4435
height,13,16,18,4385
height,13,17,125,4335
height,13,18,66,4282
height,13,19,39,4224
height,13,20,36,3941
height,14,1,51,16792
height,14,2,93,11316
height,14,3,25,10640
height,14,4,53,10586
height,14,5,36,10323
height,14,6,88,9389
height,14,7,41,7332
height,14,8,13,7148
height,14,9,107,5398
height,14,10,60,5294
height,14,11,75,5274
height,14,12,81,5148
height,14,13,18,4986
height,14,14,6,4919
height,14,15,96,4758
height,14,16,108,4589
height,14,17,16,4165
height,14,18,85,3911
height,14,19,20,3694
height,14,20,100,3453
height,15,1,57,16581
height,15,2,116,12460
height,15,3,7,11013
height,15,4,59,9420
height,15,5,37,8674
height,15,6,53,6606
height,15,7,20,6035
height,15,8,123,5935
height,15,9,82,5827
height,15,10,120,5349
height,15,11,18,5301
height,15,12,80,5067
height,15,13,10,4886
height,15,14,43,4848
height,15,15,58,4775
height,15,16,115,4501
height,15,17,28,4245
height,15,18,125,4026
height,15,19,56,3736
height,15,20,96,3716
height,16,1,36,15669
height,16,2,126,11939
height,16,3,101,9317
height,16,4,79,8419
height,16,5,37,8288
height,16,6,89,7744
height,16,7,44,7169
height,16,8,52,6379
height,16,9,108,6377
height,16,10,98,6122
height,16,11,83,6086
height,16,12,115,6055
height,16,13,110,5900
height,16,14,77,5284
height,16,15,80,5249
height,16,16,22,4785
height,16,17,100,4359
height,16,18,103,4327
height,16,19,34,4301
height,16,20,13,4283
height,17,1,62,11979
height,17,2,36,10177
height,17,3,0,8815
height,17,4,18,8773
height,17,5,83,8559
height,17,6,86,7920
height,17,7,127,6543
height,17,8,120,5851
height,17,9,35,5604
height,17,10,121,5464
height,17,11,78,5306
height,17,12,65,5004
height,17,13,88,4971
height,17,14,66,4733
height,17,15,55,4623
height,17,16,81,4292
height,17,17,117,4185
height,17,18,92,4105
height,17,19,54,3987
height,17,20,11,3941
height,18,1,74,17983
height,18,2,1,16738
height,18,3,86,14850
height,18,4,71,12097
height,18,5,62,10783
height,18,6,109,9727
height,18,7,8,9129
height,18,8,27,8573
height,18,9,111,7619
height,18,10,34,6620
height,18,11,20,6573
height,18,12,116,6487
height,18,13,7,6408
height,18,14,53,5446
height,18,15,16,5367
height,18,16,98,5045
height,18,17,75,4860
height,18,18,79,4073
height,18,19,80,3844
height,18,20,19,3836
height,19,1,83,15703
height,19,2,28,13507
height,19,3,115,11437
height,19,4,17,11432
height,19,5,111,10175
height,19,6,30,9552
height,19,7,41,9083
height,19,8,18,8581
height,19,9,109,8431
height,19,10,103,7559
height,19,11,64,7230
height,19,12,92,7207
height,19,13,106,6968
height,19,14,53,5934
height,19,15,91,4425
height,19,16,73,4293
height,19,17,13,3803
height,19,18,62,3698
height,19,19,96,3632
height,19,20,113,3625
height,20,1,46,15393
height,20,2,88,14908
height,20,3,21,13171
height,20,4,72,11747
height,20,5,20,10738
height,20,6,111,8979
height,20,7,23,7377
height,20,8,107,7070
height,20,9,103,6530
height,20,10,15,6504
height,20,11,27,5483
height,20,12,67,5310
height,20,13,38,5210
height,20,14,125,5134
height,20,15,43,4999
height,20,16,35,4897
height,20,17,8,4749
height,20,18,78,4692
height,20,19,81,4626
height,20,20,94,4148
height,21,1,28,14118
height,21,2,10,13306
height,21,3,49,12716
height,21,4,86,11535
height,21,5,104,9496
height,21,6,114,9452
height,21,7,40,9079
height,21,8,30,8563
height,21,9,5,8322
height,21,10,87,7740
height,21,11,37,7661
height,21,12,23,6745
height,21,13,57,5710
height,21,14,41,4828
height,21,15,27,4360
height,21,16,79,3966
height,21,17,122,3600
height,21,18,59,3383
height,21,19,43,3252
height,21,20,83,3243
height,22,1,26,9798
