Category,Layer,Rank,Expert ID,Activation Count
adjacency,0,1,12,6795
adjacency,0,2,77,6006
adjacency,0,3,112,5337
adjacency,0,4,23,5073
adjacency,0,5,62,4991
adjacency,0,6,29,4648
adjacency,0,7,125,4573
adjacency,0,8,51,4374
adjacency,0,9,72,4371
adjacency,0,10,102,4312
adjacency,0,11,3,4276
adjacency,0,12,98,3869
adjacency,0,13,34,3784
adjacency,0,14,67,3746
adjacency,0,15,75,3659
adjacency,0,16,30,3546
adjacency,0,17,99,3462
adjacency,0,18,78,3452
adjacency,0,19,100,3451
adjacency,0,20,50,3423
adjacency,1,1,32,5953
adjacency,1,2,59,5393
adjacency,1,3,119,5249
adjacency,1,4,4,5059
adjacency,1,5,88,4682
adjacency,1,6,102,4605
adjacency,1,7,111,4536
adjacency,1,8,106,4469
adjacency,1,9,45,4270
adjacency,1,10,100,4193
adjacency,1,11,70,4179
adjacency,1,12,123,4066
adjacency,1,13,114,4021
adjacency,1,14,5,3878
adjacency,1,15,127,3849
adjacency,1,16,94,3747
adjacency,1,17,116,3558
adjacency,1,18,8,3469
adjacency,1,19,47,3440
adjacency,1,20,10,3371
adjacency,2,1,47,10963
adjacency,2,2,37,8517
adjacency,2,3,36,6745
adjacency,2,4,40,5869
adjacency,2,5,2,5582
adjacency,2,6,127,5557
adjacency,2,7,85,5036
adjacency,2,8,5,4903
adjacency,2,9,80,4104
adjacency,2,10,15,4071
adjacency,2,11,31,4052
adjacency,2,12,116,3815
adjacency,2,13,66,3688
adjacency,2,14,102,3587
adjacency,2,15,25,3441
adjacency,2,16,90,3370
adjacency,2,17,53,3312
adjacency,2,18,50,3248
adjacency,2,19,79,3234
adjacency,2,20,22,3187
adjacency,3,1,84,13495
adjacency,3,2,16,9412
adjacency,3,3,113,8103
adjacency,3,4,95,7170
adjacency,3,5,43,5930
adjacency,3,6,77,5298
adjacency,3,7,27,4979
adjacency,3,8,102,4579
adjacency,3,9,122,4569
adjacency,3,10,49,4532
adjacency,3,11,88,4237
adjacency,3,12,11,4142
adjacency,3,13,58,4108
adjacency,3,14,115,4040
adjacency,3,15,24,3820
adjacency,3,16,61,3751
adjacency,3,17,76,3681
adjacency,3,18,1,3631
adjacency,3,19,59,3603
adjacency,3,20,2,3571
adjacency,4,1,104,11177
adjacency,4,2,4,8965
adjacency,4,3,109,7968
adjacency,4,4,101,7945
adjacency,4,5,15,7529
adjacency,4,6,36,6424
adjacency,4,7,11,6377
adjacency,4,8,13,5654
adjacency,4,9,52,5524
adjacency,4,10,33,5248
adjacency,4,11,5,4678
adjacency,4,12,28,4600
adjacency,4,13,32,4537
adjacency,4,14,72,4471
adjacency,4,15,10,4362
adjacency,4,16,34,3931
adjacency,4,17,81,3889
adjacency,4,18,73,3852
adjacency,4,19,49,3851
adjacency,4,20,2,3797
adjacency,5,1,44,10951
adjacency,5,2,13,9152
adjacency,5,3,74,9147
adjacency,5,4,14,7871
adjacency,5,5,53,7212
adjacency,5,6,70,6516
adjacency,5,7,76,6201
adjacency,5,8,98,5977
adjacency,5,9,7,5952
adjacency,5,10,48,4618
adjacency,5,11,121,4319
adjacency,5,12,56,4266
adjacency,5,13,25,4205
adjacency,5,14,17,4151
adjacency,5,15,54,4140
adjacency,5,16,127,4125
adjacency,5,17,68,3758
adjacency,5,18,10,3677
adjacency,5,19,35,3670
adjacency,5,20,12,3585
adjacency,6,1,74,14830
adjacency,6,2,1,13663
adjacency,6,3,71,11658
adjacency,6,4,8,10374
adjacency,6,5,34,8937
adjacency,6,6,16,8032
adjacency,6,7,86,7613
adjacency,6,8,109,7592
adjacency,6,9,40,7398
adjacency,6,10,53,6199
adjacency,6,11,111,5813
adjacency,6,12,80,5708
adjacency,6,13,27,5660
adjacency,6,14,19,5318
adjacency,6,15,44,5152
adjacency,6,16,62,4759
adjacency,6,17,7,4557
adjacency,6,18,76,4462
adjacency,6,19,29,4262
adjacency,6,20,116,4080
adjacency,7,1,109,14213
adjacency,7,2,30,14169
adjacency,7,3,83,13008
adjacency,7,4,18,10808
adjacency,7,5,92,8305
adjacency,7,6,103,7823
adjacency,7,7,111,7659
adjacency,7,8,17,7268
adjacency,7,9,107,7014
adjacency,7,10,41,6908
adjacency,7,11,64,6621
adjacency,7,12,23,6128
adjacency,7,13,96,5521
adjacency,7,14,34,5475
adjacency,7,15,106,4893
adjacency,7,16,82,4678
adjacency,7,17,9,4534
adjacency,7,18,36,4189
adjacency,7,19,59,4143
adjacency,7,20,122,4063
adjacency,8,1,46,15300
adjacency,8,2,107,14002
adjacency,8,3,88,12787
adjacency,8,4,21,9627
adjacency,8,5,72,7735
adjacency,8,6,58,7384
adjacency,8,7,67,6723
adjacency,8,8,125,5732
adjacency,8,9,23,5682
adjacency,8,10,78,5665
adjacency,8,11,111,5586
adjacency,8,12,43,5523
adjacency,8,13,38,5440
adjacency,8,14,116,5328
adjacency,8,15,27,5142
adjacency,8,16,20,4885
adjacency,8,17,3,4751
adjacency,8,18,71,4566
adjacency,8,19,94,4317
adjacency,8,20,81,4285
